State,Count
0000000,9
0000100,1
0010001,1
0000001,9
0000010,10
0000011,9
0001011,1
0001100,1
0000100,9
0010101,1
0000101,9
0000110,10
0000110,1
0000111,8
0000011,1
0001000,8
0011000,1
0000000,1
0001001,9
1001001,1
1001010,1
0001110,1
0001010,8
0011011,1
0001011,8
0001111,1
0000100,1
0001100,9
0001101,8
0001100,2
0001100,1
0001110,9
0011111,1
1001111,1
0001111,8
0011000,2
0010000,8
0010001,9
0011001,1
0010010,10
0010001,1
0010010,1
0010011,8
0010100,8
0010110,2
0010101,10
0010110,10
0010111,9
0010110,1
0011000,10
0011000,1
0011001,9
0011010,9
0011011,1
0011011,9
0111011,1
0011000,1
0011100,9
0010101,2
0011100,1
0011101,6
0011001,1
0011110,9
0010110,1
0011111,9
0010111,1
0100000,8
0100010,1
0100100,1
0100001,10
0100010,9
1100010,1
0100010,4
0100011,6
0100101,1
0100100,7
0100001,1
0000100,1
0100101,8
1100101,1
0100100,1
0100010,1
0100110,9
0100111,8
0100110,1
0110111,1
0101000,10
0101000,1
0101001,9
1101010,1
0101010,9
0101011,10
0101100,10
0101100,2
0001101,1
0101101,5
0101001,1
0111101,1
0101110,8
0101010,1
1101110,1
0101111,10
0110000,8
0100000,1
0110001,1
0110101,1
0100001,1
0110001,8
0110010,8
0010010,1
0100010,1
0110011,9
0111011,1
0110100,9
0010100,1
0110101,9
0100101,1
1110100,1
0110111,1
0110110,8
0110101,1
0110111,7
0110110,2
0110000,1
0111100,1
0111000,7
0111001,1
0111100,1
0111001,9
0111010,8
0110010,1
0011010,1
0111011,7
0111010,1
0110011,1
0111111,1
0111100,10
0111101,10
0111110,10
0111011,1
0111110,1
0110111,2
0111111,6
1000010,1
1000000,9
0000001,1
1000101,1
1000001,8
1000010,9
1000011,1
1000011,10
1000110,1
1000100,8
1000000,1
1000100,1
1000101,7
1000111,1
1000001,1
1001010,1
1000010,1
1000110,8
1000111,9
1000101,1
1001001,1
1001000,8
1011000,1
1001001,9
1001000,1
1001010,10
1001111,1
1001011,9
1011100,1
1001100,9
1001101,9
1001001,1
1001010,2
1001110,7
1000110,1
1011111,1
1001011,1
1001111,8
1010000,10
1010001,9
1011001,1
1011010,1
1010010,9
1010111,1
1010011,9
1010100,9
1010101,1
1010101,9
1010100,1
1010110,10
1010111,10
1011000,10
1011001,9
0110001,1
1011110,1
1011010,7
0011110,1
0011010,1
1001011,1
1011011,9
1011100,10
1011101,10
1011111,1
1011110,8
1011010,1
1011111,9
1001110,1
1100100,1
1100000,8
1101000,1
1100001,10
1100111,1
1101010,1
1100010,7
0100010,1
1100111,1
1100011,9
1100100,10
1100100,1
1100101,7
1000101,1
1110101,1
1100110,7
1100100,1
1101111,1
1000110,1
1100111,9
1110111,1
1101110,1
1101000,9
1111001,1
1101001,9
1101010,8
1001010,1
1101110,1
0101011,1
1100011,1
1110011,1
1101011,7
1100100,1
1101100,8
1101101,1
1101101,9
1100101,1
1101110,10
1101111,9
1101011,1
1110000,10
1110001,9
0110001,1
1110010,8
1110110,1
1010010,1
1110010,1
1110011,9
1110100,9
1110000,1
1110101,7
1010101,1
1110001,1
1111101,1
1110110,9
0110110,1
1110111,10
1111010,1
1111000,9
1111001,7
1110001,1
0111001,1
1101001,1
1111010,8
1110010,1
0111010,1
1111011,8
1111111,2
1111100,8
1111110,1
1111000,1
1111101,7
1111001,1
1011100,1
1110101,1
1111110,10
1111111,8
1111011,1
1111101,1
1010,1
0010,1
1011,1
1111,2
0110,2
1101,1
0000,1
0100,1
